Geography,Indicator,Count
AFG,"Death rate in 2017 (per 100,000 people)",597.029
ALB,"Death rate in 2017 (per 100,000 people)",304.195
DZA,"Death rate in 2017 (per 100,000 people)",278.36400000000003
AND,"Death rate in 2017 (per 100,000 people)",109.135
AGO,"Death rate in 2017 (per 100,000 people)",276.045
ATG,"Death rate in 2017 (per 100,000 people)",191.511
ARG,"Death rate in 2017 (per 100,000 people)",191.032
ARM,"Death rate in 2017 (per 100,000 people)",341.01
AUS,"Death rate in 2017 (per 100,000 people)",107.791
AUT,"Death rate in 2017 (per 100,000 people)",145.183
AZE,"Death rate in 2017 (per 100,000 people)",559.812
BHS,"Death rate in 2017 (per 100,000 people)",235.954
BHR,"Death rate in 2017 (per 100,000 people)",151.689
BGD,"Death rate in 2017 (per 100,000 people)",298.003
BRB,"Death rate in 2017 (per 100,000 people)",170.05
BLR,"Death rate in 2017 (per 100,000 people)",443.129
BEL,"Death rate in 2017 (per 100,000 people)",114.898
BLZ,"Death rate in 2017 (per 100,000 people)",176.957
BEN,"Death rate in 2017 (per 100,000 people)",235.84799999999998
BTN,"Death rate in 2017 (per 100,000 people)",217.06599999999997
BOL,"Death rate in 2017 (per 100,000 people)",204.299
BIH,"Death rate in 2017 (per 100,000 people)",329.635
BWA,"Death rate in 2017 (per 100,000 people)",237.372
BRA,"Death rate in 2017 (per 100,000 people)",177.96099999999998
BRN,"Death rate in 2017 (per 100,000 people)",201.285
BGR,"Death rate in 2017 (per 100,000 people)",424.68800000000005
BFA,"Death rate in 2017 (per 100,000 people)",269.048
BDI,"Death rate in 2017 (per 100,000 people)",293.068
KHM,"Death rate in 2017 (per 100,000 people)",270.892
CMR,"Death rate in 2017 (per 100,000 people)",244.66099999999997
CAN,"Death rate in 2017 (per 100,000 people)",105.59899999999999
CPV,"Death rate in 2017 (per 100,000 people)",182.21900000000002
CAF,"Death rate in 2017 (per 100,000 people)",435.727
TCD,"Death rate in 2017 (per 100,000 people)",280.995
CHL,"Death rate in 2017 (per 100,000 people)",127.993
CHN,"Death rate in 2017 (per 100,000 people)",261.899
COL,"Death rate in 2017 (per 100,000 people)",124.24
COM,"Death rate in 2017 (per 100,000 people)",261.51599999999996
COG,"Death rate in 2017 (per 100,000 people)",344.094
CRI,"Death rate in 2017 (per 100,000 people)",137.97299999999998
CIV,"Death rate in 2017 (per 100,000 people)",303.74
HRV,"Death rate in 2017 (per 100,000 people)",253.782
CUB,"Death rate in 2017 (per 100,000 people)",190.968
CYP,"Death rate in 2017 (per 100,000 people)",141.171
CZE,"Death rate in 2017 (per 100,000 people)",227.485
COD,"Death rate in 2017 (per 100,000 people)",318.949
DNK,"Death rate in 2017 (per 100,000 people)",114.76700000000001
DJI,"Death rate in 2017 (per 100,000 people)",258.03700000000003
DMA,"Death rate in 2017 (per 100,000 people)",227.37599999999998
DOM,"Death rate in 2017 (per 100,000 people)",266.653
ECU,"Death rate in 2017 (per 100,000 people)",140.44799999999998
EGY,"Death rate in 2017 (per 100,000 people)",525.432
SLV,"Death rate in 2017 (per 100,000 people)",167.295
GNQ,"Death rate in 2017 (per 100,000 people)",202.812
ERI,"Death rate in 2017 (per 100,000 people)",311.11
EST,"Death rate in 2017 (per 100,000 people)",255.56900000000002
SWZ,"Death rate in 2017 (per 100,000 people)",333.436
ETH,"Death rate in 2017 (per 100,000 people)",182.63400000000001
FJI,"Death rate in 2017 (per 100,000 people)",412.82
FIN,"Death rate in 2017 (per 100,000 people)",153.507
FRA,"Death rate in 2017 (per 100,000 people)",86.06
GAB,"Death rate in 2017 (per 100,000 people)",259.967
GMB,"Death rate in 2017 (per 100,000 people)",331.43
GEO,"Death rate in 2017 (per 100,000 people)",496.218
DEU,"Death rate in 2017 (per 100,000 people)",156.139
GHA,"Death rate in 2017 (per 100,000 people)",298.245
GRC,"Death rate in 2017 (per 100,000 people)",175.695
GRD,"Death rate in 2017 (per 100,000 people)",243.96400000000003
GTM,"Death rate in 2017 (per 100,000 people)",155.898
GIN,"Death rate in 2017 (per 100,000 people)",336.717
GNB,"Death rate in 2017 (per 100,000 people)",382.474
GUY,"Death rate in 2017 (per 100,000 people)",373.159
HTI,"Death rate in 2017 (per 100,000 people)",430.548
HND,"Death rate in 2017 (per 100,000 people)",240.208
HUN,"Death rate in 2017 (per 100,000 people)",278.296
ISL,"Death rate in 2017 (per 100,000 people)",117.992
IND,"Death rate in 2017 (per 100,000 people)",282.28
IDN,"Death rate in 2017 (per 100,000 people)",342.86400000000003
,"Death rate in 2017 (per 100,000 people)",
IRN,"Death rate in 2017 (per 100,000 people)",270.308
IRQ,"Death rate in 2017 (per 100,000 people)",218.612
IRL,"Death rate in 2017 (per 100,000 people)",126.459
ISR,"Death rate in 2017 (per 100,000 people)",93.32
ITA,"Death rate in 2017 (per 100,000 people)",113.15100000000001
JAM,"Death rate in 2017 (per 100,000 people)",206.537
JPN,"Death rate in 2017 (per 100,000 people)",79.37
JOR,"Death rate in 2017 (per 100,000 people)",208.257
KAZ,"Death rate in 2017 (per 100,000 people)",466.792
KEN,"Death rate in 2017 (per 100,000 people)",218.637
OWID_KOS,"Death rate in 2017 (per 100,000 people)",
KWT,"Death rate in 2017 (per 100,000 people)",132.235
KGZ,"Death rate in 2017 (per 100,000 people)",436.36199999999997
LAO,"Death rate in 2017 (per 100,000 people)",368.111
LVA,"Death rate in 2017 (per 100,000 people)",350.06
LBN,"Death rate in 2017 (per 100,000 people)",266.591
LSO,"Death rate in 2017 (per 100,000 people)",405.126
LBR,"Death rate in 2017 (per 100,000 people)",272.509
LBY,"Death rate in 2017 (per 100,000 people)",341.86199999999997
LIE,"Death rate in 2017 (per 100,000 people)",
LTU,"Death rate in 2017 (per 100,000 people)",342.98900000000003
LUX,"Death rate in 2017 (per 100,000 people)",128.275
MDG,"Death rate in 2017 (per 100,000 people)",405.994
MWI,"Death rate in 2017 (per 100,000 people)",227.34900000000002
MYS,"Death rate in 2017 (per 100,000 people)",260.942
MDV,"Death rate in 2017 (per 100,000 people)",164.905
MLI,"Death rate in 2017 (per 100,000 people)",268.024
MLT,"Death rate in 2017 (per 100,000 people)",168.71099999999998
MHL,"Death rate in 2017 (per 100,000 people)",557.793
MRT,"Death rate in 2017 (per 100,000 people)",232.347
MUS,"Death rate in 2017 (per 100,000 people)",224.644
MEX,"Death rate in 2017 (per 100,000 people)",152.783
FSM,"Death rate in 2017 (per 100,000 people)",454.343
MDA,"Death rate in 2017 (per 100,000 people)",408.50199999999995
MCO,"Death rate in 2017 (per 100,000 people)",
MNG,"Death rate in 2017 (per 100,000 people)",460.043
MNE,"Death rate in 2017 (per 100,000 people)",387.305
MAR,"Death rate in 2017 (per 100,000 people)",419.14599999999996
MOZ,"Death rate in 2017 (per 100,000 people)",329.94199999999995
MMR,"Death rate in 2017 (per 100,000 people)",202.104
NAM,"Death rate in 2017 (per 100,000 people)",243.81099999999998
NPL,"Death rate in 2017 (per 100,000 people)",260.797
NLD,"Death rate in 2017 (per 100,000 people)",109.361
NZL,"Death rate in 2017 (per 100,000 people)",128.797
NIC,"Death rate in 2017 (per 100,000 people)",137.016
NER,"Death rate in 2017 (per 100,000 people)",238.33900000000003
NGA,"Death rate in 2017 (per 100,000 people)",181.013
MKD,"Death rate in 2017 (per 100,000 people)",322.688
NOR,"Death rate in 2017 (per 100,000 people)",114.316
OMN,"Death rate in 2017 (per 100,000 people)",266.342
PAK,"Death rate in 2017 (per 100,000 people)",423.031
PSE,"Death rate in 2017 (per 100,000 people)",265.91
PAN,"Death rate in 2017 (per 100,000 people)",128.346
PNG,"Death rate in 2017 (per 100,000 people)",561.494
PRY,"Death rate in 2017 (per 100,000 people)",199.128
PER,"Death rate in 2017 (per 100,000 people)",85.755
PHL,"Death rate in 2017 (per 100,000 people)",370.43699999999995
POL,"Death rate in 2017 (per 100,000 people)",227.331
PRT,"Death rate in 2017 (per 100,000 people)",127.84200000000001
QAT,"Death rate in 2017 (per 100,000 people)",176.69
ROU,"Death rate in 2017 (per 100,000 people)",370.94599999999997
RUS,"Death rate in 2017 (per 100,000 people)",431.29699999999997
RWA,"Death rate in 2017 (per 100,000 people)",191.375
KNA,"Death rate in 2017 (per 100,000 people)",
LCA,"Death rate in 2017 (per 100,000 people)",204.62
VCT,"Death rate in 2017 (per 100,000 people)",252.675
WSM,"Death rate in 2017 (per 100,000 people)",348.977
SMR,"Death rate in 2017 (per 100,000 people)",
STP,"Death rate in 2017 (per 100,000 people)",270.113
SAU,"Death rate in 2017 (per 100,000 people)",259.538
SEN,"Death rate in 2017 (per 100,000 people)",241.21900000000002
SRB,"Death rate in 2017 (per 100,000 people)",439.415
SYC,"Death rate in 2017 (per 100,000 people)",242.648
SLE,"Death rate in 2017 (per 100,000 people)",325.721
SGP,"Death rate in 2017 (per 100,000 people)",92.243
SVK,"Death rate in 2017 (per 100,000 people)",287.959
SVN,"Death rate in 2017 (per 100,000 people)",153.493
SLB,"Death rate in 2017 (per 100,000 people)",459.78
SOM,"Death rate in 2017 (per 100,000 people)",365.769
ZAF,"Death rate in 2017 (per 100,000 people)",200.38
KOR,"Death rate in 2017 (per 100,000 people)",85.99799999999999
SSD,"Death rate in 2017 (per 100,000 people)",280.775
ESP,"Death rate in 2017 (per 100,000 people)",99.40299999999999
LKA,"Death rate in 2017 (per 100,000 people)",197.093
SDN,"Death rate in 2017 (per 100,000 people)",431.38800000000003
SUR,"Death rate in 2017 (per 100,000 people)",258.314
SWE,"Death rate in 2017 (per 100,000 people)",133.982
CHE,"Death rate in 2017 (per 100,000 people)",99.73899999999999
SYR,"Death rate in 2017 (per 100,000 people)",376.264
TWN,"Death rate in 2017 (per 100,000 people)",103.95700000000001
TJK,"Death rate in 2017 (per 100,000 people)",427.69800000000004
TZA,"Death rate in 2017 (per 100,000 people)",217.28799999999998
THA,"Death rate in 2017 (per 100,000 people)",109.861
TLS,"Death rate in 2017 (per 100,000 people)",335.346
TGO,"Death rate in 2017 (per 100,000 people)",280.033
TTO,"Death rate in 2017 (per 100,000 people)",228.467
TUN,"Death rate in 2017 (per 100,000 people)",318.991
TUR,"Death rate in 2017 (per 100,000 people)",171.285
UGA,"Death rate in 2017 (per 100,000 people)",213.333
UKR,"Death rate in 2017 (per 100,000 people)",539.849
ARE,"Death rate in 2017 (per 100,000 people)",317.84
GBR,"Death rate in 2017 (per 100,000 people)",122.137
USA,"Death rate in 2017 (per 100,000 people)",151.089
URY,"Death rate in 2017 (per 100,000 people)",160.708
UZB,"Death rate in 2017 (per 100,000 people)",724.4169999999999
VUT,"Death rate in 2017 (per 100,000 people)",546.3
VAT,"Death rate in 2017 (per 100,000 people)",
VEN,"Death rate in 2017 (per 100,000 people)",204.85
VNM,"Death rate in 2017 (per 100,000 people)",245.465
OWID_WRL,"Death rate in 2017 (per 100,000 people)",233.07
YEM,"Death rate in 2017 (per 100,000 people)",495.00300000000004
ZMB,"Death rate in 2017 (per 100,000 people)",234.49900000000002
ZWE,"Death rate in 2017 (per 100,000 people)",307.846
