Geography,Indicator,Count
AFG,% of population aged 20 to 79 living with diabetes,9.59
ALB,% of population aged 20 to 79 living with diabetes,10.08
DZA,% of population aged 20 to 79 living with diabetes,6.73
AND,% of population aged 20 to 79 living with diabetes,7.97
AGO,% of population aged 20 to 79 living with diabetes,3.94
ATG,% of population aged 20 to 79 living with diabetes,13.17
ARG,% of population aged 20 to 79 living with diabetes,5.5
ARM,% of population aged 20 to 79 living with diabetes,7.11
AUS,% of population aged 20 to 79 living with diabetes,5.07
AUT,% of population aged 20 to 79 living with diabetes,6.35
AZE,% of population aged 20 to 79 living with diabetes,7.11
BHS,% of population aged 20 to 79 living with diabetes,13.17
BHR,% of population aged 20 to 79 living with diabetes,16.52
BGD,% of population aged 20 to 79 living with diabetes,8.38
BRB,% of population aged 20 to 79 living with diabetes,13.57
BLR,% of population aged 20 to 79 living with diabetes,5.18
BEL,% of population aged 20 to 79 living with diabetes,4.29
BLZ,% of population aged 20 to 79 living with diabetes,17.11
BEN,% of population aged 20 to 79 living with diabetes,0.99
BTN,% of population aged 20 to 79 living with diabetes,9.75
BOL,% of population aged 20 to 79 living with diabetes,6.89
BIH,% of population aged 20 to 79 living with diabetes,10.08
BWA,% of population aged 20 to 79 living with diabetes,4.81
BRA,% of population aged 20 to 79 living with diabetes,8.11
BRN,% of population aged 20 to 79 living with diabetes,12.79
BGR,% of population aged 20 to 79 living with diabetes,5.81
BFA,% of population aged 20 to 79 living with diabetes,2.42
BDI,% of population aged 20 to 79 living with diabetes,6.05
KHM,% of population aged 20 to 79 living with diabetes,4.0
CMR,% of population aged 20 to 79 living with diabetes,7.2
CAN,% of population aged 20 to 79 living with diabetes,7.37
CPV,% of population aged 20 to 79 living with diabetes,2.42
CAF,% of population aged 20 to 79 living with diabetes,6.1
TCD,% of population aged 20 to 79 living with diabetes,6.1
CHL,% of population aged 20 to 79 living with diabetes,8.46
CHN,% of population aged 20 to 79 living with diabetes,9.74
COL,% of population aged 20 to 79 living with diabetes,7.44
COM,% of population aged 20 to 79 living with diabetes,11.88
COG,% of population aged 20 to 79 living with diabetes,7.2
CRI,% of population aged 20 to 79 living with diabetes,8.78
CIV,% of population aged 20 to 79 living with diabetes,2.42
HRV,% of population aged 20 to 79 living with diabetes,5.59
CUB,% of population aged 20 to 79 living with diabetes,8.27
CYP,% of population aged 20 to 79 living with diabetes,9.24
CZE,% of population aged 20 to 79 living with diabetes,6.82
COD,% of population aged 20 to 79 living with diabetes,6.1
DNK,% of population aged 20 to 79 living with diabetes,6.41
DJI,% of population aged 20 to 79 living with diabetes,6.05
DMA,% of population aged 20 to 79 living with diabetes,11.62
DOM,% of population aged 20 to 79 living with diabetes,8.2
ECU,% of population aged 20 to 79 living with diabetes,5.55
EGY,% of population aged 20 to 79 living with diabetes,17.31
SLV,% of population aged 20 to 79 living with diabetes,8.87
GNQ,% of population aged 20 to 79 living with diabetes,7.78
ERI,% of population aged 20 to 79 living with diabetes,6.05
EST,% of population aged 20 to 79 living with diabetes,4.02
SWZ,% of population aged 20 to 79 living with diabetes,3.94
ETH,% of population aged 20 to 79 living with diabetes,7.47
FJI,% of population aged 20 to 79 living with diabetes,14.49
FIN,% of population aged 20 to 79 living with diabetes,5.76
FRA,% of population aged 20 to 79 living with diabetes,4.77
GAB,% of population aged 20 to 79 living with diabetes,7.2
GMB,% of population aged 20 to 79 living with diabetes,1.91
GEO,% of population aged 20 to 79 living with diabetes,7.11
DEU,% of population aged 20 to 79 living with diabetes,8.31
GHA,% of population aged 20 to 79 living with diabetes,4.97
GRC,% of population aged 20 to 79 living with diabetes,4.55
GRD,% of population aged 20 to 79 living with diabetes,10.71
GTM,% of population aged 20 to 79 living with diabetes,10.18
GIN,% of population aged 20 to 79 living with diabetes,2.42
GNB,% of population aged 20 to 79 living with diabetes,2.42
GUY,% of population aged 20 to 79 living with diabetes,11.62
HTI,% of population aged 20 to 79 living with diabetes,6.65
HND,% of population aged 20 to 79 living with diabetes,7.21
HUN,% of population aged 20 to 79 living with diabetes,7.55
ISL,% of population aged 20 to 79 living with diabetes,5.31
IND,% of population aged 20 to 79 living with diabetes,10.39
IDN,% of population aged 20 to 79 living with diabetes,6.32
,% of population aged 20 to 79 living with diabetes,
IRN,% of population aged 20 to 79 living with diabetes,9.59
IRQ,% of population aged 20 to 79 living with diabetes,8.83
IRL,% of population aged 20 to 79 living with diabetes,3.28
ISR,% of population aged 20 to 79 living with diabetes,6.74
ITA,% of population aged 20 to 79 living with diabetes,4.78
JAM,% of population aged 20 to 79 living with diabetes,11.28
JPN,% of population aged 20 to 79 living with diabetes,5.72
JOR,% of population aged 20 to 79 living with diabetes,11.75
KAZ,% of population aged 20 to 79 living with diabetes,7.11
KEN,% of population aged 20 to 79 living with diabetes,2.92
OWID_KOS,% of population aged 20 to 79 living with diabetes,
KWT,% of population aged 20 to 79 living with diabetes,15.84
KGZ,% of population aged 20 to 79 living with diabetes,7.11
LAO,% of population aged 20 to 79 living with diabetes,4.0
LVA,% of population aged 20 to 79 living with diabetes,4.91
LBN,% of population aged 20 to 79 living with diabetes,12.71
LSO,% of population aged 20 to 79 living with diabetes,3.94
LBR,% of population aged 20 to 79 living with diabetes,2.42
LBY,% of population aged 20 to 79 living with diabetes,10.43
LIE,% of population aged 20 to 79 living with diabetes,7.77
LTU,% of population aged 20 to 79 living with diabetes,3.67
LUX,% of population aged 20 to 79 living with diabetes,4.42
MDG,% of population aged 20 to 79 living with diabetes,3.94
MWI,% of population aged 20 to 79 living with diabetes,3.94
MYS,% of population aged 20 to 79 living with diabetes,16.74
MDV,% of population aged 20 to 79 living with diabetes,9.19
MLI,% of population aged 20 to 79 living with diabetes,2.42
MLT,% of population aged 20 to 79 living with diabetes,8.83
MHL,% of population aged 20 to 79 living with diabetes,30.53
MRT,% of population aged 20 to 79 living with diabetes,2.42
MUS,% of population aged 20 to 79 living with diabetes,22.02
MEX,% of population aged 20 to 79 living with diabetes,13.06
FSM,% of population aged 20 to 79 living with diabetes,12.02
MDA,% of population aged 20 to 79 living with diabetes,5.72
MCO,% of population aged 20 to 79 living with diabetes,5.46
MNG,% of population aged 20 to 79 living with diabetes,4.82
MNE,% of population aged 20 to 79 living with diabetes,10.08
MAR,% of population aged 20 to 79 living with diabetes,7.14
MOZ,% of population aged 20 to 79 living with diabetes,3.3
MMR,% of population aged 20 to 79 living with diabetes,4.61
NAM,% of population aged 20 to 79 living with diabetes,3.94
NPL,% of population aged 20 to 79 living with diabetes,7.26
NLD,% of population aged 20 to 79 living with diabetes,5.29
NZL,% of population aged 20 to 79 living with diabetes,8.08
NIC,% of population aged 20 to 79 living with diabetes,11.47
NER,% of population aged 20 to 79 living with diabetes,2.42
NGA,% of population aged 20 to 79 living with diabetes,2.42
MKD,% of population aged 20 to 79 living with diabetes,10.08
NOR,% of population aged 20 to 79 living with diabetes,5.31
OMN,% of population aged 20 to 79 living with diabetes,12.61
PAK,% of population aged 20 to 79 living with diabetes,8.35
PSE,% of population aged 20 to 79 living with diabetes,10.59
PAN,% of population aged 20 to 79 living with diabetes,8.33
PNG,% of population aged 20 to 79 living with diabetes,17.65
PRY,% of population aged 20 to 79 living with diabetes,8.27
PER,% of population aged 20 to 79 living with diabetes,5.95
PHL,% of population aged 20 to 79 living with diabetes,7.07
POL,% of population aged 20 to 79 living with diabetes,5.91
PRT,% of population aged 20 to 79 living with diabetes,9.85
QAT,% of population aged 20 to 79 living with diabetes,16.52
ROU,% of population aged 20 to 79 living with diabetes,9.74
RUS,% of population aged 20 to 79 living with diabetes,6.18
RWA,% of population aged 20 to 79 living with diabetes,4.28
KNA,% of population aged 20 to 79 living with diabetes,12.84
LCA,% of population aged 20 to 79 living with diabetes,11.62
VCT,% of population aged 20 to 79 living with diabetes,11.62
WSM,% of population aged 20 to 79 living with diabetes,9.21
SMR,% of population aged 20 to 79 living with diabetes,5.64
STP,% of population aged 20 to 79 living with diabetes,2.42
SAU,% of population aged 20 to 79 living with diabetes,17.72
SEN,% of population aged 20 to 79 living with diabetes,2.42
SRB,% of population aged 20 to 79 living with diabetes,10.08
SYC,% of population aged 20 to 79 living with diabetes,10.55
SLE,% of population aged 20 to 79 living with diabetes,2.42
SGP,% of population aged 20 to 79 living with diabetes,10.99
