Geography,Indicator,Count
AFG,GDP at purchasing power parity,1803.987
ALB,GDP at purchasing power parity,11803.431
DZA,GDP at purchasing power parity,13913.839
AND,GDP at purchasing power parity,
AGO,GDP at purchasing power parity,5819.495
ATG,GDP at purchasing power parity,21490.943
ARG,GDP at purchasing power parity,18933.907
ARM,GDP at purchasing power parity,8787.58
AUS,GDP at purchasing power parity,44648.71
AUT,GDP at purchasing power parity,45436.685999999994
AZE,GDP at purchasing power parity,15847.419
BHS,GDP at purchasing power parity,27717.847
BHR,GDP at purchasing power parity,43290.705
BGD,GDP at purchasing power parity,3523.9840000000004
BRB,GDP at purchasing power parity,16978.068
BLR,GDP at purchasing power parity,17167.967
BEL,GDP at purchasing power parity,42658.575999999994
BLZ,GDP at purchasing power parity,7824.361999999999
BEN,GDP at purchasing power parity,2064.236
BTN,GDP at purchasing power parity,8708.597
BOL,GDP at purchasing power parity,6885.829000000001
BIH,GDP at purchasing power parity,11713.895
BWA,GDP at purchasing power parity,15807.374
BRA,GDP at purchasing power parity,14103.452
BRN,GDP at purchasing power parity,71809.25099999999
BGR,GDP at purchasing power parity,18563.307
BFA,GDP at purchasing power parity,1703.102
BDI,GDP at purchasing power parity,702.225
KHM,GDP at purchasing power parity,3645.07
CMR,GDP at purchasing power parity,3364.926
CAN,GDP at purchasing power parity,44017.59099999999
CPV,GDP at purchasing power parity,6222.554
CAF,GDP at purchasing power parity,661.24
TCD,GDP at purchasing power parity,1768.1529999999998
CHL,GDP at purchasing power parity,22767.037
CHN,GDP at purchasing power parity,15308.712
COL,GDP at purchasing power parity,13254.948999999999
COM,GDP at purchasing power parity,1413.89
COG,GDP at purchasing power parity,4881.406
CRI,GDP at purchasing power parity,15524.995
CIV,GDP at purchasing power parity,3601.006
HRV,GDP at purchasing power parity,22669.797000000002
CUB,GDP at purchasing power parity,
CYP,GDP at purchasing power parity,32415.132
CZE,GDP at purchasing power parity,32605.906000000003
COD,GDP at purchasing power parity,808.133
DNK,GDP at purchasing power parity,46682.515
DJI,GDP at purchasing power parity,2705.406
DMA,GDP at purchasing power parity,9673.367
DOM,GDP at purchasing power parity,14600.861
ECU,GDP at purchasing power parity,10581.936000000002
EGY,GDP at purchasing power parity,10550.206
SLV,GDP at purchasing power parity,7292.4580000000005
GNQ,GDP at purchasing power parity,22604.873
ERI,GDP at purchasing power parity,1510.4589999999998
EST,GDP at purchasing power parity,29481.252
SWZ,GDP at purchasing power parity,7738.975
ETH,GDP at purchasing power parity,1729.9270000000001
FJI,GDP at purchasing power parity,8702.975
FIN,GDP at purchasing power parity,40585.721
FRA,GDP at purchasing power parity,38605.671
GAB,GDP at purchasing power parity,16562.413
GMB,GDP at purchasing power parity,1561.767
GEO,GDP at purchasing power parity,9745.079
DEU,GDP at purchasing power parity,45229.245
GHA,GDP at purchasing power parity,4227.63
GRC,GDP at purchasing power parity,24574.382
GRD,GDP at purchasing power parity,13593.877
GTM,GDP at purchasing power parity,7423.808000000001
GIN,GDP at purchasing power parity,1998.9260000000002
GNB,GDP at purchasing power parity,1548.675
GUY,GDP at purchasing power parity,7435.047
HTI,GDP at purchasing power parity,1653.1729999999998
HND,GDP at purchasing power parity,4541.795
HUN,GDP at purchasing power parity,26777.561
ISL,GDP at purchasing power parity,46482.958
IND,GDP at purchasing power parity,6426.674
IDN,GDP at purchasing power parity,11188.743999999999
,GDP at purchasing power parity,
IRN,GDP at purchasing power parity,19082.62
IRQ,GDP at purchasing power parity,15663.986
IRL,GDP at purchasing power parity,67335.293
ISR,GDP at purchasing power parity,33132.32
ITA,GDP at purchasing power parity,35220.084
JAM,GDP at purchasing power parity,8193.571
JPN,GDP at purchasing power parity,39002.223
JOR,GDP at purchasing power parity,8337.49
KAZ,GDP at purchasing power parity,24055.588
KEN,GDP at purchasing power parity,2993.028
OWID_KOS,GDP at purchasing power parity,9795.834
KWT,GDP at purchasing power parity,65530.537000000004
KGZ,GDP at purchasing power parity,3393.474
LAO,GDP at purchasing power parity,6397.36
LVA,GDP at purchasing power parity,25063.846
LBN,GDP at purchasing power parity,13367.565
LSO,GDP at purchasing power parity,2851.153
LBR,GDP at purchasing power parity,752.788
LBY,GDP at purchasing power parity,17881.509
