Geography,Indicator,Count
AFG,65 years and older,2.5810000000000004
ALB,65 years and older,13.187999999999999
DZA,65 years and older,6.211
AND,65 years and older,
AGO,65 years and older,2.405
ATG,65 years and older,6.933
ARG,65 years and older,11.198
ARM,65 years and older,11.232000000000001
AUS,65 years and older,15.504000000000001
AUT,65 years and older,19.202
AZE,65 years and older,6.018
BHS,65 years and older,8.996
BHR,65 years and older,2.372
BGD,65 years and older,5.098
BRB,65 years and older,14.952
BLR,65 years and older,14.799000000000001
BEL,65 years and older,18.570999999999998
BLZ,65 years and older,3.853
BEN,65 years and older,3.2439999999999998
BTN,65 years and older,4.885
BOL,65 years and older,6.704
BIH,65 years and older,16.569000000000003
BWA,65 years and older,3.9410000000000003
BRA,65 years and older,8.552
BRN,65 years and older,4.591
BGR,65 years and older,20.801
BFA,65 years and older,2.4090000000000003
BDI,65 years and older,2.562
KHM,65 years and older,4.412
CMR,65 years and older,3.165
CAN,65 years and older,16.984
CPV,65 years and older,4.46
CAF,65 years and older,3.655
TCD,65 years and older,2.4859999999999998
CHL,65 years and older,11.087
CHN,65 years and older,10.640999999999998
COL,65 years and older,7.646
COM,65 years and older,2.963
COG,65 years and older,3.4019999999999997
CRI,65 years and older,9.468
CIV,65 years and older,2.9330000000000003
HRV,65 years and older,19.724
CUB,65 years and older,14.738
CYP,65 years and older,13.415999999999999
CZE,65 years and older,19.027
COD,65 years and older,3.02
DNK,65 years and older,19.677
DJI,65 years and older,4.213
DMA,65 years and older,
DOM,65 years and older,6.981
ECU,65 years and older,7.104
EGY,65 years and older,5.159
SLV,65 years and older,8.273
GNQ,65 years and older,2.846
ERI,65 years and older,3.6069999999999998
EST,65 years and older,19.452
SWZ,65 years and older,3.1630000000000003
ETH,65 years and older,3.5260000000000002
FJI,65 years and older,6.224
FIN,65 years and older,21.228
FRA,65 years and older,19.718
GAB,65 years and older,4.45
GMB,65 years and older,2.339
GEO,65 years and older,14.864
DEU,65 years and older,21.453000000000003
GHA,65 years and older,3.385
GRC,65 years and older,20.396
GRD,65 years and older,7.303999999999999
GTM,65 years and older,4.694
GIN,65 years and older,3.135
GNB,65 years and older,3.002
GUY,65 years and older,5.305
HTI,65 years and older,4.8
HND,65 years and older,4.652
HUN,65 years and older,18.577
ISL,65 years and older,14.431
IND,65 years and older,5.989
IDN,65 years and older,5.319
,65 years and older,
IRN,65 years and older,5.44
IRQ,65 years and older,3.1860000000000004
IRL,65 years and older,13.927999999999999
ISR,65 years and older,11.732999999999999
ITA,65 years and older,23.021
JAM,65 years and older,9.684
JPN,65 years and older,27.049
JOR,65 years and older,3.81
KAZ,65 years and older,6.9910000000000005
KEN,65 years and older,2.6860000000000004
OWID_KOS,65 years and older,
KWT,65 years and older,2.345
KGZ,65 years and older,4.489
LAO,65 years and older,4.029
LVA,65 years and older,19.754
LBN,65 years and older,8.514
LSO,65 years and older,4.506
LBR,65 years and older,3.057
LBY,65 years and older,4.4239999999999995
LIE,65 years and older,
LTU,65 years and older,19.002
LUX,65 years and older,14.312000000000001
MDG,65 years and older,2.929
MWI,65 years and older,2.9789999999999996
MYS,65 years and older,6.292999999999999
MDV,65 years and older,4.12
MLI,65 years and older,2.519
MLT,65 years and older,19.426
MHL,65 years and older,
MRT,65 years and older,3.138
MUS,65 years and older,10.945
MEX,65 years and older,6.857
FSM,65 years and older,4.81
MDA,65 years and older,10.864
MCO,65 years and older,
MNG,65 years and older,4.031000000000001
MNE,65 years and older,14.762
MAR,65 years and older,6.769
MOZ,65 years and older,3.158
MMR,65 years and older,5.732
NAM,65 years and older,3.552
NPL,65 years and older,5.809
NLD,65 years and older,18.779
NZL,65 years and older,15.322000000000001
NIC,65 years and older,5.445
NER,65 years and older,2.553
NGA,65 years and older,2.7510000000000003
MKD,65 years and older,13.26
NOR,65 years and older,16.820999999999998
OMN,65 years and older,2.355
PAK,65 years and older,4.495
PSE,65 years and older,3.043
PAN,65 years and older,7.917999999999999
PNG,65 years and older,3.8080000000000003
PRY,65 years and older,6.377999999999999
PER,65 years and older,7.151
PHL,65 years and older,4.803
POL,65 years and older,16.762999999999998
PRT,65 years and older,21.502
QAT,65 years and older,1.307
ROU,65 years and older,17.85
RUS,65 years and older,14.177999999999999
RWA,65 years and older,2.9739999999999998
KNA,65 years and older,
LCA,65 years and older,9.721
VCT,65 years and older,7.724
WSM,65 years and older,5.606
SMR,65 years and older,
STP,65 years and older,2.886
SAU,65 years and older,3.295
SEN,65 years and older,3.008
SRB,65 years and older,17.366
SYC,65 years and older,8.606
SLE,65 years and older,2.5380000000000003
SGP,65 years and older,12.922
SVK,65 years and older,15.07
SVN,65 years and older,19.062
SLB,65 years and older,3.5069999999999997
SOM,65 years and older,2.7310000000000003
ZAF,65 years and older,5.343999999999999
KOR,65 years and older,13.914000000000001
SSD,65 years and older,3.4410000000000003
ESP,65 years and older,19.436
LKA,65 years and older,10.068999999999999
SDN,65 years and older,3.548
SUR,65 years and older,6.933
SWE,65 years and older,19.985
CHE,65 years and older,18.436
SYR,65 years and older,
TWN,65 years and older,
TJK,65 years and older,3.466
TZA,65 years and older,3.108
THA,65 years and older,11.373
TLS,65 years and older,3.556
TGO,65 years and older,2.839
TTO,65 years and older,10.014
TUN,65 years and older,8.001
TUR,65 years and older,8.152999999999999
UGA,65 years and older,2.168
UKR,65 years and older,16.462
ARE,65 years and older,1.1440000000000001
GBR,65 years and older,18.517
USA,65 years and older,15.413
URY,65 years and older,14.655
UZB,65 years and older,4.468999999999999
VUT,65 years and older,4.394
VAT,65 years and older,
VEN,65 years and older,6.614
VNM,65 years and older,7.15
OWID_WRL,65 years and older,8.696
YEM,65 years and older,2.9219999999999997
ZMB,65 years and older,2.48
ZWE,65 years and older,2.822
AFG,70 years and older,1.337
ALB,70 years and older,8.642999999999999
DZA,70 years and older,3.8569999999999998
AND,70 years and older,
AGO,70 years and older,1.3619999999999999
ATG,70 years and older,4.631
ARG,70 years and older,7.441
ARM,70 years and older,7.571000000000001
AUS,70 years and older,10.129
AUT,70 years and older,13.748
AZE,70 years and older,3.8710000000000004
BHS,70 years and older,5.2
BHR,70 years and older,1.3869999999999998
BGD,70 years and older,3.262
BRB,70 years and older,9.472999999999999
BLR,70 years and older,9.788
BEL,70 years and older,12.849
BLZ,70 years and older,2.279
BEN,70 years and older,1.942
BTN,70 years and older,2.977
BOL,70 years and older,4.393
BIH,70 years and older,10.710999999999999
BWA,70 years and older,2.242
BRA,70 years and older,5.06
BRN,70 years and older,2.3819999999999997
BGR,70 years and older,13.272
BFA,70 years and older,1.358
BDI,70 years and older,1.504
KHM,70 years and older,2.385
CMR,70 years and older,1.919
CAN,70 years and older,10.797
CPV,70 years and older,3.437
CAF,70 years and older,2.251
TCD,70 years and older,1.446
CHL,70 years and older,6.938
CHN,70 years and older,5.928999999999999
COL,70 years and older,4.312
COM,70 years and older,1.726
COG,70 years and older,2.063
CRI,70 years and older,5.694
CIV,70 years and older,1.5819999999999999
HRV,70 years and older,13.052999999999999
CUB,70 years and older,9.719
CYP,70 years and older,8.562999999999999
CZE,70 years and older,11.58
COD,70 years and older,1.745
DNK,70 years and older,12.325
DJI,70 years and older,2.38
DMA,70 years and older,
DOM,70 years and older,4.419
ECU,70 years and older,4.458
EGY,70 years and older,2.891
SLV,70 years and older,5.417000000000001
GNQ,70 years and older,1.7519999999999998
ERI,70 years and older,2.171
EST,70 years and older,13.491
SWZ,70 years and older,1.845
ETH,70 years and older,2.063
FJI,70 years and older,3.284
FIN,70 years and older,13.264000000000001
FRA,70 years and older,13.079
GAB,70 years and older,2.9760000000000004
GMB,70 years and older,1.4169999999999998
GEO,70 years and older,10.244000000000002
DEU,70 years and older,15.957
GHA,70 years and older,1.9480000000000002
GRC,70 years and older,14.524000000000001
GRD,70 years and older,5.021
GTM,70 years and older,3.016
GIN,70 years and older,1.733
GNB,70 years and older,1.565
GUY,70 years and older,2.8369999999999997
HTI,70 years and older,2.9539999999999997
HND,70 years and older,2.883
HUN,70 years and older,11.975999999999999
ISL,70 years and older,9.207
IND,70 years and older,3.4139999999999997
IDN,70 years and older,3.053
,70 years and older,
IRN,70 years and older,3.182
IRQ,70 years and older,1.9569999999999999
IRL,70 years and older,8.677999999999999
ISR,70 years and older,7.359
ITA,70 years and older,16.24
JAM,70 years and older,6.39
JPN,70 years and older,18.493
JOR,70 years and older,2.3609999999999998
KAZ,70 years and older,4.625
KEN,70 years and older,1.528
OWID_KOS,70 years and older,
KWT,70 years and older,1.114
KGZ,70 years and older,2.8819999999999997
LAO,70 years and older,2.322
LVA,70 years and older,14.136
LBN,70 years and older,5.43
LSO,70 years and older,2.647
LBR,70 years and older,1.756
LBY,70 years and older,2.8160000000000003
LIE,70 years and older,
LTU,70 years and older,13.777999999999999
LUX,70 years and older,9.842
MDG,70 years and older,1.686
MWI,70 years and older,1.7830000000000001
MYS,70 years and older,3.407
MDV,70 years and older,2.875
MLI,70 years and older,1.486
MLT,70 years and older,11.324000000000002
MHL,70 years and older,
MRT,70 years and older,1.7919999999999998
MUS,70 years and older,5.8839999999999995
MEX,70 years and older,4.321000000000001
FSM,70 years and older,2.392
MDA,70 years and older,6.955
MCO,70 years and older,
MNG,70 years and older,2.421
MNE,70 years and older,9.395
MAR,70 years and older,4.209
MOZ,70 years and older,1.87
MMR,70 years and older,3.12
NAM,70 years and older,2.085
NPL,70 years and older,3.2119999999999997
NLD,70 years and older,11.880999999999998
NZL,70 years and older,9.72
NIC,70 years and older,3.5189999999999997
NER,70 years and older,1.3780000000000001
NGA,70 years and older,1.4469999999999998
MKD,70 years and older,8.16
NOR,70 years and older,10.812999999999999
OMN,70 years and older,1.53
PAK,70 years and older,2.78
PSE,70 years and older,1.726
PAN,70 years and older,5.03
PNG,70 years and older,2.142
PRY,70 years and older,3.833
PER,70 years and older,4.455
PHL,70 years and older,2.661
POL,70 years and older,10.202
PRT,70 years and older,14.924000000000001
QAT,70 years and older,0.617
ROU,70 years and older,11.69
RUS,70 years and older,9.392999999999999
RWA,70 years and older,1.642
KNA,70 years and older,
LCA,70 years and older,6.405
VCT,70 years and older,4.832
WSM,70 years and older,3.5639999999999996
SMR,70 years and older,
STP,70 years and older,2.162
SAU,70 years and older,1.845
SEN,70 years and older,1.796
SRB,70 years and older,
SYC,70 years and older,5.586
SLE,70 years and older,1.285
SGP,70 years and older,7.0489999999999995
SVK,70 years and older,9.167
SVN,70 years and older,12.93
SLB,70 years and older,2.043
SOM,70 years and older,1.496
ZAF,70 years and older,3.053
KOR,70 years and older,8.622
SSD,70 years and older,2.032
ESP,70 years and older,13.799000000000001
LKA,70 years and older,5.331
SDN,70 years and older,2.0340000000000003
SUR,70 years and older,4.229
SWE,70 years and older,13.433
CHE,70 years and older,12.644
SYR,70 years and older,2.577
TWN,70 years and older,8.353
TJK,70 years and older,2.155
TZA,70 years and older,1.874
THA,70 years and older,6.89
