Geography,Indicator,Count
AFG,% of population with basic handwashing facilities on premises,37.746
ALB,% of population with basic handwashing facilities on premises,Null
DZA,% of population with basic handwashing facilities on premises,83.741
AND,% of population with basic handwashing facilities on premises,Null
AGO,% of population with basic handwashing facilities on premises,26.664
ATG,% of population with basic handwashing facilities on premises,Null
ARG,% of population with basic handwashing facilities on premises,Null
ARM,% of population with basic handwashing facilities on premises,94.04299999999999
AUS,% of population with basic handwashing facilities on premises,Null
AUT,% of population with basic handwashing facilities on premises,Null
AZE,% of population with basic handwashing facilities on premises,83.241
BHS,% of population with basic handwashing facilities on premises,Null
BHR,% of population with basic handwashing facilities on premises,Null
BGD,% of population with basic handwashing facilities on premises,34.808
BRB,% of population with basic handwashing facilities on premises,88.469
BLR,% of population with basic handwashing facilities on premises,Null
BEL,% of population with basic handwashing facilities on premises,Null
BLZ,% of population with basic handwashing facilities on premises,90.083
BEN,% of population with basic handwashing facilities on premises,11.035
BTN,% of population with basic handwashing facilities on premises,79.807
BOL,% of population with basic handwashing facilities on premises,25.383000000000003
BIH,% of population with basic handwashing facilities on premises,97.164
BWA,% of population with basic handwashing facilities on premises,Null
BRA,% of population with basic handwashing facilities on premises,Null
BRN,% of population with basic handwashing facilities on premises,Null
BGR,% of population with basic handwashing facilities on premises,Null
BFA,% of population with basic handwashing facilities on premises,11.877
BDI,% of population with basic handwashing facilities on premises,6.144
KHM,% of population with basic handwashing facilities on premises,66.229
CMR,% of population with basic handwashing facilities on premises,2.735
CAN,% of population with basic handwashing facilities on premises,Null
CPV,% of population with basic handwashing facilities on premises,Null
CAF,% of population with basic handwashing facilities on premises,16.602999999999998
TCD,% of population with basic handwashing facilities on premises,5.818
CHL,% of population with basic handwashing facilities on premises,Null
CHN,% of population with basic handwashing facilities on premises,Null
COL,% of population with basic handwashing facilities on premises,65.38600000000001
COM,% of population with basic handwashing facilities on premises,15.574000000000002
COG,% of population with basic handwashing facilities on premises,47.964
CRI,% of population with basic handwashing facilities on premises,83.84100000000001
CIV,% of population with basic handwashing facilities on premises,19.351
HRV,% of population with basic handwashing facilities on premises,Null
CUB,% of population with basic handwashing facilities on premises,85.198
CYP,% of population with basic handwashing facilities on premises,Null
CZE,% of population with basic handwashing facilities on premises,Null
COD,% of population with basic handwashing facilities on premises,4.4719999999999995
DNK,% of population with basic handwashing facilities on premises,Null
DJI,% of population with basic handwashing facilities on premises,Null
DMA,% of population with basic handwashing facilities on premises,Null
DOM,% of population with basic handwashing facilities on premises,55.181999999999995
ECU,% of population with basic handwashing facilities on premises,80.635
EGY,% of population with basic handwashing facilities on premises,89.82700000000001
SLV,% of population with basic handwashing facilities on premises,90.65
GNQ,% of population with basic handwashing facilities on premises,24.64
ERI,% of population with basic handwashing facilities on premises,Null
EST,% of population with basic handwashing facilities on premises,Null
SWZ,% of population with basic handwashing facilities on premises,24.096999999999998
ETH,% of population with basic handwashing facilities on premises,7.96
FJI,% of population with basic handwashing facilities on premises,Null
FIN,% of population with basic handwashing facilities on premises,Null
FRA,% of population with basic handwashing facilities on premises,Null
GAB,% of population with basic handwashing facilities on premises,Null
GMB,% of population with basic handwashing facilities on premises,7.876
GEO,% of population with basic handwashing facilities on premises,Null
DEU,% of population with basic handwashing facilities on premises,Null
GHA,% of population with basic handwashing facilities on premises,41.047
GRC,% of population with basic handwashing facilities on premises,Null
GRD,% of population with basic handwashing facilities on premises,Null
GTM,% of population with basic handwashing facilities on premises,76.665
GIN,% of population with basic handwashing facilities on premises,17.45
GNB,% of population with basic handwashing facilities on premises,6.403
GUY,% of population with basic handwashing facilities on premises,77.15899999999999
HTI,% of population with basic handwashing facilities on premises,22.863000000000003
HND,% of population with basic handwashing facilities on premises,84.169
HUN,% of population with basic handwashing facilities on premises,Null
ISL,% of population with basic handwashing facilities on premises,Null
IND,% of population with basic handwashing facilities on premises,59.55
IDN,% of population with basic handwashing facilities on premises,64.204
Null,% of population with basic handwashing facilities on premises,Null
