Geography,Indicator,Count
AFG,Human Development Index,0.498
ALB,Human Development Index,0.785
DZA,Human Development Index,0.754
AND,Human Development Index,0.858
AGO,Human Development Index,0.581
ATG,Human Development Index,0.78
ARG,Human Development Index,0.825
ARM,Human Development Index,0.755
AUS,Human Development Index,0.9390000000000001
AUT,Human Development Index,0.9079999999999999
AZE,Human Development Index,0.757
BHS,Human Development Index,0.807
BHR,Human Development Index,0.846
BGD,Human Development Index,0.608
BRB,Human Development Index,0.8
BLR,Human Development Index,0.8079999999999999
BEL,Human Development Index,0.9159999999999999
BLZ,Human Development Index,0.708
BEN,Human Development Index,0.515
BTN,Human Development Index,0.612
BOL,Human Development Index,0.693
BIH,Human Development Index,0.768
BWA,Human Development Index,0.7170000000000001
BRA,Human Development Index,0.759
BRN,Human Development Index,0.853
BGR,Human Development Index,0.813
BFA,Human Development Index,0.423
BDI,Human Development Index,0.41700000000000004
KHM,Human Development Index,0.5820000000000001
CMR,Human Development Index,0.556
CAN,Human Development Index,0.9259999999999999
CPV,Human Development Index,0.654
CAF,Human Development Index,0.36700000000000005
TCD,Human Development Index,0.40399999999999997
CHL,Human Development Index,0.843
CHN,Human Development Index,0.752
COL,Human Development Index,0.747
COM,Human Development Index,0.503
COG,Human Development Index,0.606
CRI,Human Development Index,0.794
CIV,Human Development Index,0.49200000000000005
HRV,Human Development Index,0.831
CUB,Human Development Index,0.777
CYP,Human Development Index,0.8690000000000001
CZE,Human Development Index,0.888
COD,Human Development Index,0.457
DNK,Human Development Index,0.929
DJI,Human Development Index,0.47600000000000003
DMA,Human Development Index,0.715
DOM,Human Development Index,0.736
ECU,Human Development Index,0.752
EGY,Human Development Index,0.696
SLV,Human Development Index,0.674
GNQ,Human Development Index,0.591
ERI,Human Development Index,0.44
EST,Human Development Index,0.871
SWZ,Human Development Index,0.588
ETH,Human Development Index,0.46299999999999997
FJI,Human Development Index,0.741
FIN,Human Development Index,0.92
FRA,Human Development Index,0.9009999999999999
GAB,Human Development Index,0.7020000000000001
GMB,Human Development Index,0.46
GEO,Human Development Index,0.78
DEU,Human Development Index,0.9359999999999999
GHA,Human Development Index,0.5920000000000001
GRC,Human Development Index,0.87
GRD,Human Development Index,0.772
GTM,Human Development Index,0.65
GIN,Human Development Index,0.45899999999999996
GNB,Human Development Index,0.455
GUY,Human Development Index,0.654
HTI,Human Development Index,0.498
HND,Human Development Index,0.617
HUN,Human Development Index,0.838
ISL,Human Development Index,0.935
IND,Human Development Index,0.64
IDN,Human Development Index,0.6940000000000001
Null,Human Development Index,Null
IRN,Human Development Index,0.7979999999999999
IRQ,Human Development Index,0.685
IRL,Human Development Index,0.938
ISR,Human Development Index,0.903
ITA,Human Development Index,0.88
JAM,Human Development Index,0.732
JPN,Human Development Index,0.909
JOR,Human Development Index,0.735
KAZ,Human Development Index,0.8
KEN,Human Development Index,0.59
OWID_KOS,Human Development Index,Null
KWT,Human Development Index,0.8029999999999999
KGZ,Human Development Index,0.672
LAO,Human Development Index,0.601
LVA,Human Development Index,0.847
LBN,Human Development Index,0.757
LSO,Human Development Index,0.52
LBR,Human Development Index,0.435
LBY,Human Development Index,0.706
LIE,Human Development Index,0.9159999999999999
LTU,Human Development Index,0.858
LUX,Human Development Index,0.904
MDG,Human Development Index,0.519
MWI,Human Development Index,0.47700000000000004
MYS,Human Development Index,0.802
MDV,Human Development Index,0.7170000000000001
MLI,Human Development Index,0.42700000000000005
MLT,Human Development Index,0.878
MHL,Human Development Index,0.708
MRT,Human Development Index,0.52
MUS,Human Development Index,0.79
MEX,Human Development Index,0.774
FSM,Human Development Index,0.627
MDA,Human Development Index,0.7
MCO,Human Development Index,Null
MNG,Human Development Index,0.741
MNE,Human Development Index,0.8140000000000001
MAR,Human Development Index,0.667
MOZ,Human Development Index,0.43700000000000006
MMR,Human Development Index,0.578
NAM,Human Development Index,0.647
NPL,Human Development Index,0.574
NLD,Human Development Index,0.9309999999999999
NZL,Human Development Index,0.917
