Geography,Indicator,Count
AFG,Median age,18.6
ALB,Median age,38.0
DZA,Median age,29.1
AND,Median age,
AGO,Median age,16.8
ATG,Median age,32.1
ARG,Median age,31.9
ARM,Median age,35.7
AUS,Median age,37.9
AUT,Median age,44.4
AZE,Median age,32.4
BHS,Median age,34.3
BHR,Median age,32.4
BGD,Median age,27.5
BRB,Median age,39.8
BLR,Median age,40.3
BEL,Median age,41.8
BLZ,Median age,25.0
BEN,Median age,18.8
BTN,Median age,28.6
BOL,Median age,25.4
BIH,Median age,42.5
BWA,Median age,25.8
BRA,Median age,33.5
BRN,Median age,32.4
BGR,Median age,44.7
BFA,Median age,17.6
BDI,Median age,17.5
KHM,Median age,25.6
CMR,Median age,18.8
CAN,Median age,41.4
CPV,Median age,25.7
CAF,Median age,18.3
TCD,Median age,16.7
CHL,Median age,35.4
CHN,Median age,38.7
COL,Median age,32.2
COM,Median age,20.4
COG,Median age,19.0
CRI,Median age,33.6
CIV,Median age,18.7
HRV,Median age,44.0
CUB,Median age,43.1
CYP,Median age,37.3
CZE,Median age,43.3
COD,Median age,17.0
DNK,Median age,42.3
DJI,Median age,25.4
DMA,Median age,
DOM,Median age,27.6
ECU,Median age,28.1
EGY,Median age,25.3
SLV,Median age,27.6
GNQ,Median age,22.4
ERI,Median age,19.3
EST,Median age,42.7
SWZ,Median age,21.5
ETH,Median age,19.8
FJI,Median age,28.6
FIN,Median age,42.8
FRA,Median age,42.0
GAB,Median age,23.1
GMB,Median age,17.5
GEO,Median age,38.7
DEU,Median age,46.6
GHA,Median age,21.1
GRC,Median age,45.3
GRD,Median age,29.4
GTM,Median age,22.9
GIN,Median age,19.0
GNB,Median age,19.4
GUY,Median age,26.3
HTI,Median age,24.3
HND,Median age,24.9
HUN,Median age,43.4
ISL,Median age,37.3
IND,Median age,28.2
IDN,Median age,29.3
,Median age,
IRN,Median age,32.4
IRQ,Median age,20.0
IRL,Median age,38.7
ISR,Median age,30.6
ITA,Median age,47.9
JAM,Median age,31.4
JPN,Median age,48.2
JOR,Median age,23.2
KAZ,Median age,30.6
KEN,Median age,20.0
OWID_KOS,Median age,
KWT,Median age,33.7
KGZ,Median age,26.3
LAO,Median age,24.4
LVA,Median age,43.9
LBN,Median age,31.1
LSO,Median age,22.2
LBR,Median age,19.2
LBY,Median age,29.0
LIE,Median age,
LTU,Median age,43.5
LUX,Median age,39.7
MDG,Median age,19.6
MWI,Median age,18.1
MYS,Median age,29.9
MDV,Median age,30.6
MLI,Median age,16.4
MLT,Median age,42.4
MHL,Median age,
MRT,Median age,20.3
MUS,Median age,37.4
MEX,Median age,29.3
FSM,Median age,23.0
MDA,Median age,37.6
MCO,Median age,
MNG,Median age,28.6
MNE,Median age,39.1
MAR,Median age,29.6
MOZ,Median age,17.7
MMR,Median age,29.1
NAM,Median age,22.0
NPL,Median age,25.0
NLD,Median age,43.2
NZL,Median age,37.9
NIC,Median age,27.3
NER,Median age,15.1
NGA,Median age,18.1
MKD,Median age,39.1
NOR,Median age,39.7
OMN,Median age,30.7
PAK,Median age,23.5
PSE,Median age,20.4
PAN,Median age,29.7
PNG,Median age,22.6
PRY,Median age,26.5
PER,Median age,29.1
PHL,Median age,25.2
POL,Median age,41.8
PRT,Median age,46.2
QAT,Median age,31.9
ROU,Median age,43.0
RUS,Median age,39.6
