Geography,date,Indicator,Count
AFG,2021-01-04,7 day average,247.28599999999997
AFG,2021-01-11,7 day average,75.286
AFG,2021-01-18,7 day average,74.857
AFG,2021-01-26,7 day average,87.0
ALB,2021-01-04,7 day average,435.85699999999997
ALB,2021-01-11,7 day average,621.143
ALB,2021-01-18,7 day average,573.0
ALB,2021-01-26,7 day average,731.857
DZA,2021-01-04,7 day average,287.714
DZA,2021-01-11,7 day average,246.28599999999997
DZA,2021-01-18,7 day average,246.143
DZA,2021-01-26,7 day average,250.857
AND,2021-01-04,7 day average,53.428999999999995
AND,2021-01-11,7 day average,48.143
AND,2021-01-18,7 day average,71.0
AND,2021-01-26,7 day average,63.428999999999995
AGO,2021-01-04,7 day average,55.428999999999995
AGO,2021-01-11,7 day average,81.429
AGO,2021-01-18,7 day average,96.0
AGO,2021-01-26,7 day average,77.429
ATG,2021-01-04,7 day average,0.28600000000000003
ATG,2021-01-11,7 day average,2.286
ATG,2021-01-18,7 day average,1.857
ATG,2021-01-26,7 day average,1.571
ARG,2021-01-04,7 day average,8346.714
ARG,2021-01-11,7 day average,11711.571000000002
ARG,2021-01-18,7 day average,10929.571000000002
ARG,2021-01-26,7 day average,9377.286
ARM,2021-01-04,7 day average,324.57099999999997
ARM,2021-01-11,7 day average,295.42900000000003
ARM,2021-01-18,7 day average,341.14300000000003
ARM,2021-01-26,7 day average,188.571
AUS,2021-01-04,7 day average,24.0
AUS,2021-01-11,7 day average,16.714000000000002
AUS,2021-01-18,7 day average,13.857000000000001
AUS,2021-01-26,7 day average,6.571000000000001
AUT,2021-01-04,7 day average,1989.4289999999999
AUT,2021-01-11,7 day average,2121.143
AUT,2021-01-18,7 day average,1811.5710000000001
AUT,2021-01-26,7 day average,1530.714
AZE,2021-01-04,7 day average,730.857
AZE,2021-01-11,7 day average,604.0
AZE,2021-01-18,7 day average,366.286
AZE,2021-01-26,7 day average,237.429
BHS,2021-01-04,7 day average,12.857000000000001
BHS,2021-01-11,7 day average,11.429
BHS,2021-01-18,7 day average,9.0
BHS,2021-01-26,7 day average,10.286
BHR,2021-01-04,7 day average,261.57099999999997
BHR,2021-01-11,7 day average,301.857
BHR,2021-01-18,7 day average,294.42900000000003
BHR,2021-01-26,7 day average,347.0
BGD,2021-01-04,7 day average,978.429
BGD,2021-01-11,7 day average,910.429
BGD,2021-01-18,7 day average,718.143
BGD,2021-01-26,7 day average,555.0
BRB,2021-01-04,7 day average,34.429
BRB,2021-01-11,7 day average,39.714
BRB,2021-01-18,7 day average,30.143
BRB,2021-01-26,7 day average,43.714
BLR,2021-01-04,7 day average,1891.8570000000002
BLR,2021-01-11,7 day average,1737.4289999999999
BLR,2021-01-18,7 day average,1909.5710000000001
BLR,2021-01-26,7 day average,1538.0
BEL,2021-01-04,7 day average,1593.286
BEL,2021-01-11,7 day average,2048.0
BEL,2021-01-18,7 day average,2078.286
BEL,2021-01-26,7 day average,2198.857
BLZ,2021-01-04,7 day average,49.571000000000005
BLZ,2021-01-11,7 day average,56.286
BLZ,2021-01-18,7 day average,37.143
BLZ,2021-01-26,7 day average,24.714000000000002
BEN,2021-01-04,7 day average,6.571000000000001
BEN,2021-01-11,7 day average,16.0
BEN,2021-01-18,7 day average,7.143
BEN,2021-01-26,7 day average,32.857
BTN,2021-01-04,7 day average,15.857000000000001
BTN,2021-01-11,7 day average,13.0
BTN,2021-01-18,7 day average,2.571
BTN,2021-01-26,7 day average,1.143
BOL,2021-01-04,7 day average,1153.857
BOL,2021-01-11,7 day average,1659.5710000000001
BOL,2021-01-18,7 day average,1920.714
BOL,2021-01-26,7 day average,2016.8570000000002
BIH,2021-01-04,7 day average,390.57099999999997
