Geography,date,Indicator,Count
ARE,Jan 2020,new_cases,4.0
ARG,Jan 2020,new_cases,0.0
AUS,Jan 2020,new_cases,9.0
CAN,Jan 2020,new_cases,4.0
CHE,Jan 2020,new_cases,0.0
CHN,Jan 2020,new_cases,9254.0
DEU,Jan 2020,new_cases,5.0
DNK,Jan 2020,new_cases,0.0
FIN,Jan 2020,new_cases,1.0
FJI,Jan 2020,new_cases,0.0
FRA,Jan 2020,new_cases,5.0
GBR,Jan 2020,new_cases,2.0
HKG,Jan 2020,new_cases,0.0
IND,Jan 2020,new_cases,1.0
ITA,Jan 2020,new_cases,2.0
JPN,Jan 2020,new_cases,13.0
KHM,Jan 2020,new_cases,1.0
KOR,Jan 2020,new_cases,10.0
LKA,Jan 2020,new_cases,1.0
MEX,Jan 2020,new_cases,0.0
MYS,Jan 2020,new_cases,8.0
NPL,Jan 2020,new_cases,1.0
OWID_WRL,Jan 2020,new_cases,9370.0
PHL,Jan 2020,new_cases,1.0
RUS,Jan 2020,new_cases,2.0
SGP,Jan 2020,new_cases,13.0
THA,Jan 2020,new_cases,15.0
TWN,Jan 2020,new_cases,9.0
USA,Jan 2020,new_cases,7.0
VNM,Jan 2020,new_cases,2.0
AFG,Feb 2020,new_cases,1.0
ARE,Feb 2020,new_cases,17.0
ARG,Feb 2020,new_cases,0.0
AUS,Feb 2020,new_cases,16.0
AUT,Feb 2020,new_cases,9.0
BEL,Feb 2020,new_cases,1.0
BHR,Feb 2020,new_cases,41.0
BLR,Feb 2020,new_cases,1.0
BRA,Feb 2020,new_cases,2.0
CAN,Feb 2020,new_cases,16.0
CHE,Feb 2020,new_cases,18.0
CHL,Feb 2020,new_cases,2.0
CHN,Feb 2020,new_cases,69554.0
CZE,Feb 2020,new_cases,0.0
DEU,Feb 2020,new_cases,74.0
DNK,Feb 2020,new_cases,3.0
DZA,Feb 2020,new_cases,1.0
EGY,Feb 2020,new_cases,1.0
ESP,Feb 2020,new_cases,45.0
EST,Feb 2020,new_cases,1.0
FIN,Feb 2020,new_cases,2.0
FJI,Feb 2020,new_cases,0.0
FRA,Feb 2020,new_cases,95.0
GBR,Feb 2020,new_cases,59.0
GEO,Feb 2020,new_cases,1.0
GRC,Feb 2020,new_cases,4.0
GTM,Feb 2020,new_cases,0.0
HKG,Feb 2020,new_cases,0.0
HRV,Feb 2020,new_cases,6.0
IND,Feb 2020,new_cases,2.0
IRL,Feb 2020,new_cases,1.0
IRN,Feb 2020,new_cases,593.0
IRQ,Feb 2020,new_cases,13.0
ISL,Feb 2020,new_cases,1.0
ISR,Feb 2020,new_cases,6.0
ITA,Feb 2020,new_cases,1126.0
JPN,Feb 2020,new_cases,230.0
KHM,Feb 2020,new_cases,0.0
KOR,Feb 2020,new_cases,3139.0
KWT,Feb 2020,new_cases,45.0
LBN,Feb 2020,new_cases,4.0
LKA,Feb 2020,new_cases,0.0
LTU,Feb 2020,new_cases,1.0
LUX,Feb 2020,new_cases,1.0
LVA,Feb 2020,new_cases,0.0
MAR,Feb 2020,new_cases,0.0
MCO,Feb 2020,new_cases,1.0
MEX,Feb 2020,new_cases,4.0
MKD,Feb 2020,new_cases,1.0
MLT,Feb 2020,new_cases,0.0
MYS,Feb 2020,new_cases,17.0
NGA,Feb 2020,new_cases,1.0
NLD,Feb 2020,new_cases,6.0
NOR,Feb 2020,new_cases,15.0
NPL,Feb 2020,new_cases,0.0
NZL,Feb 2020,new_cases,1.0
OMN,Feb 2020,new_cases,6.0
OWID_WRL,Feb 2020,new_cases,76085.0
PAK,Feb 2020,new_cases,4.0
PHL,Feb 2020,new_cases,2.0
PRT,Feb 2020,new_cases,0.0
QAT,Feb 2020,new_cases,1.0
ROU,Feb 2020,new_cases,3.0
RUS,Feb 2020,new_cases,0.0
SEN,Feb 2020,new_cases,0.0
SGP,Feb 2020,new_cases,89.0
SMR,Feb 2020,new_cases,1.0
SRB,Feb 2020,new_cases,0.0
SVN,Feb 2020,new_cases,0.0
SWE,Feb 2020,new_cases,13.0
THA,Feb 2020,new_cases,23.0
TWN,Feb 2020,new_cases,29.0
USA,Feb 2020,new_cases,17.0
VNM,Feb 2020,new_cases,14.0
ZAF,Feb 2020,new_cases,0.0
AFG,Mar 2020,new_cases,174.0
