Geography,date,Indicator,Count
AFG,2021-01-04,7 day average,9.0
AFG,2021-01-11,7 day average,7.2860000000000005
AFG,2021-01-18,7 day average,7.857
AFG,2021-01-26,7 day average,6.143
ALB,2021-01-04,7 day average,5.0
ALB,2021-01-11,7 day average,6.857
ALB,2021-01-18,7 day average,4.857
ALB,2021-01-26,7 day average,6.428999999999999
DZA,2021-01-04,7 day average,5.7139999999999995
DZA,2021-01-11,7 day average,5.0
DZA,2021-01-18,7 day average,4.0
DZA,2021-01-26,7 day average,4.0
AND,2021-01-04,7 day average,0.14300000000000002
AND,2021-01-11,7 day average,0.14300000000000002
AND,2021-01-18,7 day average,0.857
AND,2021-01-26,7 day average,0.7140000000000001
AGO,2021-01-04,7 day average,0.7140000000000001
AGO,2021-01-11,7 day average,1.714
AGO,2021-01-18,7 day average,2.714
AGO,2021-01-26,7 day average,2.8569999999999998
ATG,2021-01-04,7 day average,0.0
ATG,2021-01-11,7 day average,0.0
ATG,2021-01-18,7 day average,0.14300000000000002
ATG,2021-01-26,7 day average,0.0
ARG,2021-01-04,7 day average,109.429
ARG,2021-01-11,7 day average,145.714
ARG,2021-01-18,7 day average,168.28599999999997
ARG,2021-01-26,7 day average,169.571
ARM,2021-01-04,7 day average,12.714
ARM,2021-01-11,7 day average,9.571
ARM,2021-01-18,7 day average,9.571
ARM,2021-01-26,7 day average,6.428999999999999
AUS,2021-01-04,7 day average,0.0
AUS,2021-01-11,7 day average,0.0
AUS,2021-01-18,7 day average,0.0
AUS,2021-01-26,7 day average,0.0
AUT,2021-01-04,7 day average,60.857
AUT,2021-01-11,7 day average,55.714
AUT,2021-01-18,7 day average,53.571000000000005
AUT,2021-01-26,7 day average,45.143
AZE,2021-01-04,7 day average,31.857
AZE,2021-01-11,7 day average,23.570999999999998
AZE,2021-01-18,7 day average,13.714
AZE,2021-01-26,7 day average,9.714
BHS,2021-01-04,7 day average,0.7140000000000001
BHS,2021-01-11,7 day average,0.0
BHS,2021-01-18,7 day average,0.0
BHS,2021-01-26,7 day average,0.0
BHR,2021-01-04,7 day average,0.14300000000000002
BHR,2021-01-11,7 day average,0.5710000000000001
BHR,2021-01-18,7 day average,0.5710000000000001
BHR,2021-01-26,7 day average,1.143
BGD,2021-01-04,7 day average,24.429000000000002
BGD,2021-01-11,7 day average,21.857
BGD,2021-01-18,7 day average,17.0
BGD,2021-01-26,7 day average,16.143
BRB,2021-01-04,7 day average,0.0
BRB,2021-01-11,7 day average,0.0
BRB,2021-01-18,7 day average,0.0
BRB,2021-01-26,7 day average,0.429
BLR,2021-01-04,7 day average,9.571
