Geography,date,Count
ARE,Jan 2020,0.0
ARG,Jan 2020,0.0
AUS,Jan 2020,0.0
CAN,Jan 2020,0.0
CHE,Jan 2020,0.0
CHN,Jan 2020,196.0
DEU,Jan 2020,0.0
DNK,Jan 2020,0.0
FIN,Jan 2020,0.0
FJI,Jan 2020,0.0
FRA,Jan 2020,0.0
GBR,Jan 2020,0.0
HKG,Jan 2020,0.0
IND,Jan 2020,0.0
ITA,Jan 2020,0.0
JPN,Jan 2020,0.0
KHM,Jan 2020,0.0
KOR,Jan 2020,0.0
LKA,Jan 2020,0.0
MEX,Jan 2020,0.0
MYS,Jan 2020,0.0
NPL,Jan 2020,0.0
OWID_WRL,Jan 2020,196.0
PHL,Jan 2020,0.0
RUS,Jan 2020,0.0
SGP,Jan 2020,0.0
THA,Jan 2020,0.0
TWN,Jan 2020,0.0
USA,Jan 2020,0.0
VNM,Jan 2020,0.0
AFG,Feb 2020,0.0
ARE,Feb 2020,0.0
ARG,Feb 2020,0.0
AUS,Feb 2020,0.0
AUT,Feb 2020,0.0
BEL,Feb 2020,0.0
BHR,Feb 2020,0.0
BLR,Feb 2020,0.0
BRA,Feb 2020,0.0
CAN,Feb 2020,0.0
CHE,Feb 2020,0.0
CHL,Feb 2020,0.0
CHN,Feb 2020,2624.0
CZE,Feb 2020,0.0
DEU,Feb 2020,0.0
DNK,Feb 2020,0.0
DZA,Feb 2020,0.0
EGY,Feb 2020,0.0
ESP,Feb 2020,0.0
EST,Feb 2020,0.0
FIN,Feb 2020,0.0
FJI,Feb 2020,0.0
FRA,Feb 2020,2.0
GBR,Feb 2020,0.0
GEO,Feb 2020,0.0
GRC,Feb 2020,0.0
GTM,Feb 2020,0.0
HKG,Feb 2020,0.0
HRV,Feb 2020,0.0
IND,Feb 2020,0.0
IRL,Feb 2020,0.0
IRN,Feb 2020,43.0
IRQ,Feb 2020,0.0
ISL,Feb 2020,0.0
ISR,Feb 2020,0.0
ITA,Feb 2020,29.0
JPN,Feb 2020,6.0
KHM,Feb 2020,0.0
KOR,Feb 2020,16.0
KWT,Feb 2020,0.0
LBN,Feb 2020,0.0
LKA,Feb 2020,0.0
LTU,Feb 2020,0.0
LUX,Feb 2020,0.0
LVA,Feb 2020,0.0
MAR,Feb 2020,0.0
MCO,Feb 2020,0.0
MEX,Feb 2020,0.0
MKD,Feb 2020,0.0
MLT,Feb 2020,0.0
MYS,Feb 2020,0.0
NGA,Feb 2020,0.0
NLD,Feb 2020,0.0
NOR,Feb 2020,0.0
NPL,Feb 2020,0.0
NZL,Feb 2020,0.0
OMN,Feb 2020,0.0
OWID_WRL,Feb 2020,2729.0
PAK,Feb 2020,0.0
PHL,Feb 2020,1.0
PRT,Feb 2020,0.0
QAT,Feb 2020,0.0
ROU,Feb 2020,0.0
RUS,Feb 2020,0.0
SEN,Feb 2020,0.0
SGP,Feb 2020,0.0
SMR,Feb 2020,0.0
SRB,Feb 2020,0.0
SVN,Feb 2020,0.0
SWE,Feb 2020,0.0
THA,Feb 2020,0.0
TWN,Feb 2020,1.0
USA,Feb 2020,1.0
VNM,Feb 2020,0.0
ZAF,Feb 2020,0.0
AFG,Mar 2020,4.0
