Geography,Indicator,Count
AFG,Population in 2020,38928341.0
ALB,Population in 2020,2877800.0
DZA,Population in 2020,43851043.0
AND,Population in 2020,77265.0
AGO,Population in 2020,32866268.0
ATG,Population in 2020,97928.0
ARG,Population in 2020,45195777.0
ARM,Population in 2020,2963234.0
AUS,Population in 2020,25499881.0
AUT,Population in 2020,9006400.0
AZE,Population in 2020,10139175.0
BHS,Population in 2020,393248.0
BHR,Population in 2020,1701583.0
BGD,Population in 2020,164689383.0
BRB,Population in 2020,287371.0
BLR,Population in 2020,9449321.0
BEL,Population in 2020,11589616.0
BLZ,Population in 2020,397621.0
BEN,Population in 2020,12123198.0
BTN,Population in 2020,771612.0
BOL,Population in 2020,11673029.0
BIH,Population in 2020,3280815.0
BWA,Population in 2020,2351625.0
BRA,Population in 2020,212559409.0
BRN,Population in 2020,437483.0
BGR,Population in 2020,6948445.0
BFA,Population in 2020,20903278.0
BDI,Population in 2020,11890781.0
KHM,Population in 2020,16718971.0
CMR,Population in 2020,26545864.0
CAN,Population in 2020,37742157.0
CPV,Population in 2020,555988.0
CAF,Population in 2020,4829764.0
TCD,Population in 2020,16425859.0
CHL,Population in 2020,19116209.0
CHN,Population in 2020,1439323774.0
COL,Population in 2020,50882884.0
COM,Population in 2020,869595.0
COG,Population in 2020,5518092.0
CRI,Population in 2020,5094114.0
CIV,Population in 2020,26378275.0
HRV,Population in 2020,4105268.0
CUB,Population in 2020,11326616.0
CYP,Population in 2020,875899.0
CZE,Population in 2020,10708982.0
COD,Population in 2020,89561404.0
DNK,Population in 2020,5792203.0
DJI,Population in 2020,988002.0
DMA,Population in 2020,71991.0
DOM,Population in 2020,10847904.0
ECU,Population in 2020,17643060.0
EGY,Population in 2020,102334403.0
SLV,Population in 2020,6486201.0
GNQ,Population in 2020,1402985.0
ERI,Population in 2020,3546427.0
EST,Population in 2020,1326539.0
SWZ,Population in 2020,1160164.0
ETH,Population in 2020,114963583.0
FJI,Population in 2020,896444.0
FIN,Population in 2020,5540718.0
FRA,Population in 2020,65273512.0
GAB,Population in 2020,2225728.0
GMB,Population in 2020,2416664.0
GEO,Population in 2020,3989175.0
DEU,Population in 2020,83783945.0
GHA,Population in 2020,31072945.0
GRC,Population in 2020,10423056.0
GRD,Population in 2020,112519.0
GTM,Population in 2020,17915567.0
GIN,Population in 2020,13132792.0
GNB,Population in 2020,1967998.0
GUY,Population in 2020,786559.0
HTI,Population in 2020,11402533.0
HND,Population in 2020,9904608.0
HUN,Population in 2020,9660350.0
ISL,Population in 2020,341250.0
IND,Population in 2020,1380004385.0
IDN,Population in 2020,273523621.0
,Population in 2020,
IRN,Population in 2020,83992953.0
IRQ,Population in 2020,40222503.0
IRL,Population in 2020,4937796.0
ISR,Population in 2020,8655541.0
ITA,Population in 2020,60461828.0
JAM,Population in 2020,2961161.0
JPN,Population in 2020,126476458.0
JOR,Population in 2020,10203140.0
KAZ,Population in 2020,18776707.0
KEN,Population in 2020,53771300.0
OWID_KOS,Population in 2020,1932774.0
KWT,Population in 2020,4270563.0
KGZ,Population in 2020,6524191.0
LAO,Population in 2020,7275556.0
LVA,Population in 2020,1886202.0
LBN,Population in 2020,6825442.0
LSO,Population in 2020,2142252.0
LBR,Population in 2020,5057677.0
LBY,Population in 2020,6871287.0
LIE,Population in 2020,38137.0
LTU,Population in 2020,2722291.0
