Geography,Indicator,Count
AFG,Received at least one vaccine dose,Null
ALB,Received at least one vaccine dose,Null
DZA,Received at least one vaccine dose,Null
AND,Received at least one vaccine dose,Null
AGO,Received at least one vaccine dose,Null
ATG,Received at least one vaccine dose,Null
ARG,Received at least one vaccine dose,266969.0
ARM,Received at least one vaccine dose,Null
AUS,Received at least one vaccine dose,Null
AUT,Received at least one vaccine dose,Null
AZE,Received at least one vaccine dose,Null
BHS,Received at least one vaccine dose,Null
BHR,Received at least one vaccine dose,Null
BGD,Received at least one vaccine dose,Null
BRB,Received at least one vaccine dose,Null
BLR,Received at least one vaccine dose,Null
BEL,Received at least one vaccine dose,229863.0
BLZ,Received at least one vaccine dose,Null
BEN,Received at least one vaccine dose,Null
BTN,Received at least one vaccine dose,Null
BOL,Received at least one vaccine dose,Null
BIH,Received at least one vaccine dose,Null
BWA,Received at least one vaccine dose,Null
BRA,Received at least one vaccine dose,848883.0
BRN,Received at least one vaccine dose,Null
BGR,Received at least one vaccine dose,23667.0
BFA,Received at least one vaccine dose,Null
BDI,Received at least one vaccine dose,Null
KHM,Received at least one vaccine dose,Null
CMR,Received at least one vaccine dose,Null
CAN,Received at least one vaccine dose,Null
CPV,Received at least one vaccine dose,Null
CAF,Received at least one vaccine dose,Null
TCD,Received at least one vaccine dose,Null
CHL,Received at least one vaccine dose,56551.0
CHN,Received at least one vaccine dose,Null
COL,Received at least one vaccine dose,Null
COM,Received at least one vaccine dose,Null
COG,Received at least one vaccine dose,Null
CRI,Received at least one vaccine dose,Null
CIV,Received at least one vaccine dose,Null
HRV,Received at least one vaccine dose,Null
CUB,Received at least one vaccine dose,Null
CYP,Received at least one vaccine dose,Null
CZE,Received at least one vaccine dose,204828.0
COD,Received at least one vaccine dose,Null
DNK,Received at least one vaccine dose,183606.0
DJI,Received at least one vaccine dose,Null
DMA,Received at least one vaccine dose,Null
DOM,Received at least one vaccine dose,Null
ECU,Received at least one vaccine dose,Null
EGY,Received at least one vaccine dose,Null
SLV,Received at least one vaccine dose,Null
GNQ,Received at least one vaccine dose,Null
ERI,Received at least one vaccine dose,Null
EST,Received at least one vaccine dose,Null
SWZ,Received at least one vaccine dose,Null
ETH,Received at least one vaccine dose,Null
FJI,Received at least one vaccine dose,Null
FIN,Received at least one vaccine dose,110047.0
FRA,Received at least one vaccine dose,1130753.0
GAB,Received at least one vaccine dose,Null
GMB,Received at least one vaccine dose,Null
GEO,Received at least one vaccine dose,Null
DEU,Received at least one vaccine dose,1672215.0
GHA,Received at least one vaccine dose,Null
GRC,Received at least one vaccine dose,182778.0
GRD,Received at least one vaccine dose,Null
GTM,Received at least one vaccine dose,Null
GIN,Received at least one vaccine dose,Null
GNB,Received at least one vaccine dose,Null
GUY,Received at least one vaccine dose,Null
HTI,Received at least one vaccine dose,Null
HND,Received at least one vaccine dose,Null
HUN,Received at least one vaccine dose,152704.0
ISL,Received at least one vaccine dose,Null
IND,Received at least one vaccine dose,2029480.0
IDN,Received at least one vaccine dose,245685.0
Null,Received at least one vaccine dose,Null
IRN,Received at least one vaccine dose,Null
IRQ,Received at least one vaccine dose,Null
IRL,Received at least one vaccine dose,Null
ISR,Received at least one vaccine dose,2768462.0
ITA,Received at least one vaccine dose,1303694.0
JAM,Received at least one vaccine dose,Null
JPN,Received at least one vaccine dose,Null
JOR,Received at least one vaccine dose,Null
KAZ,Received at least one vaccine dose,Null
KEN,Received at least one vaccine dose,Null
OWID_KOS,Received at least one vaccine dose,Null
KWT,Received at least one vaccine dose,Null
KGZ,Received at least one vaccine dose,Null
LAO,Received at least one vaccine dose,Null
LVA,Received at least one vaccine dose,Null
LBN,Received at least one vaccine dose,Null
LSO,Received at least one vaccine dose,Null
LBR,Received at least one vaccine dose,Null
LBY,Received at least one vaccine dose,Null
